date,pm2_5,pm10,o3,no2,so2,co,AQI,TempC,prcp,wdir,Windspeed,pres
2024-10-01,47.0,23.0,20.78,9.0,3.37,6.27,88.46,28.4,34.3,137,10.1,1006.4
2024-10-02,53.0,19.0,20.78,9.0,3.33,6.27,107.5,28.1,22.7,89,9.3,1008.5
2024-10-03,46.0,21.0,20.78,11.0,3.29,6.27,84.62,27.8,18.0,117,9.1,1009.9
2024-10-04,50.0,41.0,20.78,11.0,3.25,6.27,100.0,27.3,11.4,37,8.6,1011.2
2024-10-05,84.0,46.0,20.78,8.0,3.22,6.27,185.0,29.9,0.5,17,7.1,1010.2
2024-10-06,97.0,48.0,20.78,10.0,3.18,6.27,200.0,29.9,0.5,87,8.6,1010.7
2024-10-07,109.0,50.0,20.78,13.0,3.14,6.27,200.0,29.9,0.3,344,9.0,1011.5
2024-10-08,111.0,24.0,20.78,11.0,3.1,6.27,200.0,29.5,3.6,31,9.2,1011.0
2024-10-09,56.0,40.0,20.78,12.0,3.06,6.27,115.0,28.1,10.1,90,8.0,1010.3
2024-10-10,89.0,32.0,20.78,10.0,3.02,6.27,197.5,28.7,8.9,46,7.5,1009.5
2024-10-11,75.0,49.0,20.78,8.0,2.98,6.27,162.5,29.7,0.0,70,9.3,1009.4
2024-10-12,65.79,34.0,20.78,8.0,2.94,6.27,139.47,29.4,0.0,338,9.3,1010.0
2024-10-13,75.0,41.0,20.78,9.0,2.9,6.27,162.5,28.8,5.1,334,10.3,1010.2
2024-10-14,84.0,42.0,20.78,13.0,2.87,6.27,185.0,29.7,4.3,285,8.8,1009.4
2024-10-15,95.0,35.0,20.78,14.0,2.83,6.27,200.0,30.5,0.0,293,7.1,1009.7
2024-10-16,76.0,30.0,20.78,11.0,2.79,6.27,165.0,28.6,1.3,110,7.5,1010.0
2024-10-17,67.0,28.0,20.78,9.0,2.75,6.27,142.5,29.9,7.5,87,6.9,1009.8
2024-10-18,65.0,32.0,20.78,9.0,2.71,6.27,137.5,27.7,15.1,309,10.0,1009.4
2024-10-19,73.0,19.0,20.78,7.0,2.67,6.27,157.5,27.6,29.8,63,8.6,1010.0
2024-10-20,45.0,22.0,20.78,9.0,2.63,6.27,80.77,28.0,26.9,114,10.3,1011.0
2024-10-21,53.0,30.0,20.78,13.0,2.59,6.27,107.5,28.8,8.0,214,8.7,1010.8
2024-10-22,69.0,27.0,20.78,6.0,2.55,6.27,147.5,28.2,8.1,308,9.1,1010.2
2024-10-23,60.0,43.0,20.78,14.0,2.52,6.27,125.0,29.1,43.7,5,9.6,1010.9
2024-10-24,93.0,58.0,20.78,13.0,2.48,6.27,200.0,29.1,0.2,15,8.8,1010.1
2024-10-25,65.79,33.0,20.78,9.0,2.44,6.27,139.47,30.2,0.0,310,10.1,1008.6
2024-10-26,72.0,24.0,20.78,5.0,2.4,6.27,155.0,31.1,0.2,289,13.2,1006.3
2024-10-27,55.0,29.0,20.78,8.0,2.36,6.27,112.5,30.8,18.8,283,15.2,1004.5
2024-10-28,67.0,34.0,20.78,9.0,2.32,6.27,142.5,29.1,21.8,105,10.4,1005.6
2024-10-29,77.0,32.0,20.78,12.0,2.28,6.27,167.5,29.5,0.7,18,8.2,1007.7
2024-10-30,74.0,38.0,20.78,12.0,2.24,6.27,160.0,27.9,2.4,116,7.0,1009.7
2024-10-31,82.0,37.0,20.78,11.0,2.2,6.27,180.0,30.0,0.6,340,7.1,1009.3
2024-11-01,79.0,51.0,20.78,12.0,2.17,6.27,172.5,29.6,0.3,297,9.2,1009.2
2024-11-02,110.0,49.0,20.78,9.0,2.13,6.27,200.0,29.6,0.0,77,10.3,1010.7
2024-11-03,102.0,51.0,20.78,11.0,2.09,6.27,200.0,28.9,0.0,64,9.5,1011.2
2024-11-04,110.0,38.0,20.78,11.0,2.05,6.27,200.0,28.8,4.3,49,9.1,1011.1
2024-11-05,77.0,31.0,20.78,10.0,2.01,6.27,167.5,27.6,4.4,31,12.0,1011.8
2024-11-06,65.0,42.0,20.78,10.0,1.97,6.27,137.5,27.7,1.2,34,13.4,1012.5
2024-11-07,90.0,41.0,20.78,10.0,1.93,6.27,200.0,28.8,0.7,66,11.1,1012.1
2024-11-08,85.0,51.0,20.78,10.0,1.89,6.27,187.5,28.9,0.3,64,9.4,1011.9
2024-11-09,106.0,63.0,20.78,10.0,1.86,6.27,200.0,29.1,0.0,2,8.8,1011.4
2024-11-10,65.79,59.0,20.78,14.0,1.82,6.27,139.47,29.2,0.0,22,8.9,1011.5
2024-11-11,65.79,60.0,20.78,12.0,1.78,6.27,139.47,29.8,0.0,7,6.6,1010.7
2024-11-12,65.79,62.0,20.78,11.0,1.74,6.27,139.47,29.8,0.0,358,8.9,1009.8
2024-11-13,65.79,59.0,20.78,8.0,1.7,6.27,139.47,30.7,0.0,356,9.6,1008.5
2024-11-14,65.79,45.0,20.78,15.0,1.66,6.27,139.47,30.0,5.8,25,9.4,1008.8
2024-11-15,105.0,48.0,20.78,13.0,1.62,6.27,200.0,28.6,0.3,122,5.5,1009.3
2024-11-16,107.0,45.0,20.78,12.0,1.58,6.27,200.0,29.4,0.5,131,7.4,1008.7
2024-11-17,99.0,42.0,20.78,11.0,1.54,6.27,200.0,28.9,23.4,24,8.7,1009.2
2024-11-18,92.0,41.0,20.78,14.0,1.51,6.27,200.0,28.8,0.0,23,9.1,1010.3
2024-11-19,85.0,37.0,20.78,11.0,1.47,6.27,187.5,29.1,0.0,34,8.9,1011.1
2024-11-20,74.0,31.0,20.78,10.0,1.43,6.27,160.0,28.9,0.0,67,8.7,1010.7
2024-11-21,65.0,44.0,20.78,13.0,1.39,6.27,137.5,29.0,0.0,50,9.4,1010.6
2024-11-22,85.0,35.0,20.78,11.0,1.35,6.27,187.5,29.1,0.0,61,8.9,1010.8
2024-11-23,68.0,34.0,20.78,10.0,1.31,6.27,145.0,28.9,0.2,51,9.5,1011.3
2024-11-24,66.0,40.0,20.78,12.0,1.27,6.27,140.0,29.1,0.1,35,8.5,1011.2
2024-11-25,81.0,44.0,20.78,11.0,1.23,6.27,177.5,29.7,0.0,54,10.2,1010.4
2024-11-26,88.0,36.0,20.78,10.0,1.19,6.27,195.0,29.9,0.0,49,10.1,1010.4
2024-11-27,71.0,39.0,20.78,8.0,1.16,6.27,152.5,28.9,0.0,52,12.1,1010.8
2024-11-28,77.0,47.0,20.78,9.0,1.12,6.27,167.5,28.5,0.0,67,13.8,1012.4
2024-11-29,86.0,56.0,20.78,11.0,1.08,6.27,190.0,26.3,0.0,18,12.9,1013.4
2024-11-30,111.0,70.0,20.78,9.0,1.04,6.27,200.0,25.7,0.0,18,10.2,1012.1
2024-12-01,65.79,85.0,20.78,14.0,1.0,6.27,139.47,27.1,0.0,352,9.6,1010.0
2024-12-02,65.79,81.0,20.78,14.0,1.0,6.27,139.47,27.8,0.0,355,8.9,1009.4
2024-12-03,65.79,66.0,20.78,12.0,1.0,6.27,139.47,29.4,0.0,4,8.2,1009.6
2024-12-04,65.79,60.0,20.78,11.0,1.0,6.27,139.47,29.1,0.0,30,10.2,1009.5
