Date,pm25,pm10,o3,no2,so2,co,psi,Temperature (Avg),Dew Point (Avg),Humidity (Avg),Wind Speed  (Avg),Pressure (Avg),Precipitation(Total)
2015-01-01,55.0,25.0,26.0,14.0,2.0,1.0,56.06187050359712,80.1,72.5,78.0,6.4,29.8,0.0
2015-01-02,48.0,30.0,25.0,8.0,2.0,2.0,55.0,81.6,71.0,70.8,11.8,29.8,0.0
2015-01-27,62.0,25.0,20.0,11.0,5.0,2.0,51.0,82.2,70.5,68.6,11.5,29.8,0.0
2015-02-14,59.0,29.0,36.0,11.0,4.0,2.0,60.0,81.3,70.4,69.7,11.0,29.8,0.0
2015-02-15,59.0,27.0,30.0,11.0,4.0,2.0,57.0,82.3,71.6,70.4,10.1,29.8,0.0
2015-02-20,39.0,20.0,25.0,8.0,2.0,1.0,47.0,82.6,71.2,69.8,11.7,29.8,0.0
2015-02-23,38.0,21.0,18.0,11.0,2.0,2.0,49.0,82.7,71.9,71.2,8.5,29.8,0.0
2015-02-24,49.0,20.0,23.0,13.0,3.0,2.0,49.0,82.3,72.0,72.2,9.6,29.8,0.0
2015-02-25,49.0,22.0,21.0,11.0,3.0,2.0,50.0,82.7,72.5,72.4,10.2,29.8,0.0
2015-02-26,48.0,22.0,23.0,11.0,3.0,2.0,51.0,82.6,72.5,72.3,8.8,29.8,0.0
2015-03-01,39.0,18.0,16.0,14.0,2.0,1.0,46.0,84.5,72.6,69.0,11.1,29.8,0.0
2015-03-02,41.0,20.0,18.0,14.0,3.0,2.0,54.0,84.1,71.7,67.8,8.8,29.8,0.0
2015-03-03,43.0,25.0,26.0,19.0,4.0,3.0,54.0,84.7,72.5,68.2,8.5,29.8,0.0
2015-03-04,50.0,27.0,27.0,16.0,4.0,3.0,57.0,82.2,72.2,73.7,8.0,29.8,0.0
2015-03-05,65.0,30.0,28.0,18.0,4.0,2.0,61.0,84.0,71.3,66.7,7.5,29.8,0.0
2015-03-06,65.0,27.0,22.0,12.0,4.0,2.0,48.0,83.4,71.3,67.8,7.0,29.8,0.0
2015-03-16,51.0,24.0,28.0,12.0,3.0,2.0,57.0,82.8,73.6,75.9,6.1,29.8,0.0
2015-03-17,53.0,24.0,34.0,10.0,2.0,2.0,58.0,84.6,73.6,71.3,7.5,29.8,0.0
2015-03-18,56.0,26.0,30.0,14.0,3.0,3.0,59.0,84.7,73.5,70.7,7.4,29.8,0.0
2015-03-23,71.0,29.0,26.0,12.0,2.0,2.0,58.0,84.2,73.4,71.0,9.3,29.8,0.0
2015-03-24,63.0,25.0,20.0,10.0,3.0,2.0,50.0,83.7,72.4,69.5,9.6,29.8,0.0
2015-03-30,43.0,24.0,19.0,13.0,2.0,2.0,54.0,84.6,74.2,72.6,8.7,29.8,0.0
2015-04-01,55.0,21.0,13.0,18.0,3.0,4.0,49.0,82.7,74.7,78.7,3.6,29.8,0.0
2015-04-08,36.0,18.0,16.0,9.0,2.0,2.0,46.0,85.8,74.3,70.0,8.2,29.8,0.0
2015-04-11,43.0,20.0,21.0,16.0,2.0,3.0,52.0,83.5,74.2,74.5,4.2,29.8,0.0
2015-04-12,45.0,22.0,30.0,14.0,2.0,2.0,55.0,83.6,74.2,74.8,5.3,29.8,0.0
2015-04-13,56.0,24.0,24.0,12.0,2.0,2.0,48.0,86.0,73.5,67.9,7.3,29.8,0.0
2015-04-16,31.0,21.0,20.0,10.0,3.0,2.0,52.0,86.0,72.6,65.4,9.8,29.8,0.0
2015-04-17,51.0,24.0,31.0,18.0,4.0,2.0,59.0,87.0,73.1,64.7,9.2,29.8,0.0
2015-04-21,88.0,30.0,31.0,21.0,6.0,4.0,57.0,82.7,73.4,75.3,4.8,29.8,0.0
