date,pm25,pm10,o3,no2,so2,co,psi,Daily Rainfall Total (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),year_month,year
2018-10-01,66.0,37.0,27.0,14.28754266211604,4.0,4.0,56.06187050359712,0.0,29.5,33.0,27.2,9.4,31.0,2018-10,2018
2018-10-02,63.0,43.0,19.0,14.28754266211604,4.0,6.0,56.06187050359712,0.0,29.8,33.5,27.0,7.6,28.1,2018-10,2018
2018-10-03,85.0,40.0,24.0,14.28754266211604,4.0,5.0,56.06187050359712,0.0,29.7,33.4,26.9,6.5,27.0,2018-10,2018
2018-10-04,63.0,39.0,26.0,14.28754266211604,5.0,5.0,56.06187050359712,0.0,29.8,33.4,27.8,10.1,33.8,2018-10,2018
2018-10-05,68.0,39.0,18.0,14.28754266211604,4.0,5.0,56.06187050359712,0.0,30.0,33.6,27.6,8.3,31.3,2018-10,2018
2018-10-12,30.0,19.0,9.0,14.28754266211604,4.0,4.0,56.06187050359712,9.6,26.4,30.6,24.3,5.8,31.3,2018-10,2018
2018-10-13,38.0,26.0,8.0,14.28754266211604,4.0,5.0,56.06187050359712,0.6,26.6,29.2,24.3,4.0,20.9,2018-10,2018
2018-10-15,61.0,38.0,17.0,14.28754266211604,6.0,5.0,56.06187050359712,0.0,28.1,33.1,24.8,4.3,24.5,2018-10,2018
2018-10-16,75.0,36.0,13.0,14.28754266211604,6.0,6.0,56.06187050359712,0.0,27.7,32.9,25.1,4.7,35.3,2018-10,2018
2018-10-17,70.0,30.0,15.0,14.28754266211604,4.0,4.0,56.06187050359712,3.8,27.1,30.4,24.4,4.3,23.4,2018-10,2018
2018-10-18,42.0,22.0,25.0,14.28754266211604,6.0,4.0,56.06187050359712,1.4,26.5,28.9,23.3,5.8,25.6,2018-10,2018
2018-10-19,41.0,26.0,26.0,14.28754266211604,4.0,4.0,56.06187050359712,7.4,28.3,32.8,23.6,5.8,44.6,2018-10,2018
2018-10-20,55.0,29.0,22.0,14.28754266211604,6.0,4.0,56.06187050359712,0.6,29.1,33.3,26.1,5.8,25.6,2018-10,2018
2018-10-21,75.0,39.0,23.0,14.28754266211604,3.0,6.0,56.06187050359712,0.0,29.1,32.7,26.7,6.1,32.4,2018-10,2018
2018-10-22,59.0,28.0,18.0,14.28754266211604,2.0,4.0,56.06187050359712,0.0,28.9,33.0,25.0,6.1,31.0,2018-10,2018
2018-10-24,55.0,36.0,16.0,14.28754266211604,2.0,5.0,56.06187050359712,0.2,27.0,31.8,25.1,5.0,33.8,2018-10,2018
2018-10-27,68.0,28.0,24.0,14.28754266211604,2.0,5.0,56.06187050359712,0.0,27.9,31.3,25.5,4.3,24.5,2018-10,2018
2018-10-28,58.0,26.0,16.0,14.28754266211604,1.0,5.0,56.06187050359712,5.2,27.0,32.3,25.2,3.2,28.4,2018-10,2018
2018-10-29,49.0,28.0,12.0,14.28754266211604,1.0,6.0,56.06187050359712,5.6,27.2,32.7,25.1,3.6,27.4,2018-10,2018
2018-10-31,41.0,24.0,17.0,14.28754266211604,1.0,4.0,56.06187050359712,0.0,27.2,31.0,25.2,5.4,30.6,2018-10,2018
2018-11-01,54.0,28.0,20.0,14.28754266211604,1.0,4.0,56.06187050359712,2.2,26.3,28.4,24.5,5.0,31.3,2018-11,2018
2018-11-02,51.0,27.0,9.0,14.28754266211604,4.0,5.0,56.06187050359712,2.6,26.5,30.3,24.5,5.4,39.6,2018-11,2018
2018-11-05,53.0,25.0,19.0,14.28754266211604,4.0,5.0,56.06187050359712,0.0,27.3,32.5,25.4,3.6,17.6,2018-11,2018
2018-11-06,39.0,19.0,28.0,14.28754266211604,2.0,4.0,56.06187050359712,7.2,26.8,32.9,23.6,4.3,28.4,2018-11,2018
2018-11-07,35.0,18.0,26.0,14.28754266211604,3.0,4.0,56.06187050359712,7.2,27.8,33.2,24.7,4.7,20.5,2018-11,2018
2018-11-08,36.0,32.0,7.0,14.28754266211604,7.0,4.0,56.06187050359712,13.8,27.6,33.6,23.9,5.8,23.4,2018-11,2018
